skills
python
java
c
c++
javascript
html
css
sql
mysql
postgresql
mongodb
excel
power bi
tableau
machine learning
deep learning
artificial intelligence
nlp
data science
data analysis
data visualization
statistics
mathematics
pandas
numpy
scikit-learn
tensorflow
keras
pytorch
opencv
matplotlib
seaborn
flask
django
fastapi
react
angular
node.js
express.js
git
github
docker
kubernetes
aws
azure
gcp
linux
unix
hadoop
spark
etl
data engineering
data warehousing
big data
rest api
api development
microservices
agile
scrum
jira
problem solving
communication
teamwork
leadership
time management
critical thinking
debugging
testing
unit testing
integration testing
oop
object oriented programming
design patterns
software development
web development
mobile development
android
ios
swift
kotlin
cybersecurity
networking
blockchain
cloud computing
devops
automation
scripting
bash
shell scripting
r programming
sas
business analysis
project management
